TITLE,Sucrose_0.05M
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,1
DATE,21/01/25
TIME,13:01:17
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2700.0000
LASTX,  200.0000
NPOINTS,   12501
FIRSTY,     0.80755
MAXY,    10.00000
MINY,    -4.83885
XYDATA
2489.0000,0.00629202
2488.8000,10
2488.6001,10
2488.3999,3.00611
2488.2000,10
2488.0000,10
2487.8000,0
2487.6001,-1.30103
2487.3999,10
2487.2000,10
2487.0000,10
2486.8000,2.97653
2486.6001,-1.88292
2486.3999,10
2486.2000,10
2486.0000,10
2485.8000,10
2485.6001,-0.101782
2485.3999,10
2485.2000,10
2485.0000,-2.25251
2484.8000,10
2484.6001,-0.498915
2484.3999,10
2484.2000,0.694008
2484.0000,10
2483.8000,10
2483.6001,10
2483.3999,10
2483.2000,10
2483.0000,0.136006
2482.8000,-1.76431
2482.6001,10
2482.3999,2.79655
2482.2000,-0.927434
2482.0000,10
2481.8000,0.56429
2481.6001,-2.3071
2481.3999,0.200171
2481.2000,10
2481.0000,10
2480.8000,0.295411
2480.6001,10
2480.3999,10
2480.2000,10
2480.0000,10
2479.8000,10
2479.6001,-2.90563
2479.3999,-0.978647
2479.2000,-0.980459
2479.0000,10
2478.8000,10
2478.6001,0
2478.3999,10
2478.2000,-1.65271
2478.0000,10
2477.8000,0.427479
2477.6001,10
2477.3999,10
2477.2000,10
2477.0000,10
2476.8000,0.400925
2476.6001,-0.338652
2476.3999,10
2476.2000,-0.161276
2476.0000,-0.192318
2475.8000,10
2475.6001,10
2475.3999,10
2475.2000,0
2475.0000,0
2474.8000,10
2474.6001,10
2474.3999,1.23898
2474.2000,10
2474.0000,10
2473.8000,0
2473.6001,1.20113
2473.3999,2.45813
2473.2000,10
2473.0000,10
2472.8000,0.827455
2472.6001,10
2472.3999,0
2472.2000,10
2472.0000,10
2471.8000,0
2471.6001,10
2471.3999,0
2471.2000,0
2471.0000,0
2470.8000,10
2470.6001,0.87282
2470.3999,10
2470.2000,10
2470.0000,0.306273
2469.8000,-1.80803
2469.6001,0.351359
2469.3999,0
2469.2000,0.245276
2469.0000,2.88704
2468.8000,10
2468.6001,-4.32038
2468.3999,10
2468.2000,0.479566
2468.0000,10
2467.8000,10
2467.6001,2.57748
2467.3999,10
2467.2000,10
2467.0000,0
2466.8000,10
2466.6001,10
2466.3999,-2.31706
2466.2000,10
2466.0000,10
2465.8000,10
2465.6001,10
2465.3999,0.491625
2465.2000,10
2465.0000,-2.17042
2464.8000,0.0489121
2464.6001,-0.162159
2464.3999,-2.00559
2464.2000,10
2464.0000,10
2463.8000,3.16976
2463.6001,10
2463.3999,0.346787
2463.2000,3.15805
2463.0000,10
2462.8000,10
2462.6001,10
2462.3999,-1.4413
2462.2000,-0.0656149
2462.0000,-3.20101
2461.8000,1.49709
2461.6001,0
2461.3999,-0.247723
2461.2000,0
2461.0000,10
2460.8000,10
2460.6001,10
2460.3999,0.072116
2460.2000,10
2460.0000,10
2459.8000,10
2459.6001,10
2459.3999,10
2459.2000,10
2459.0000,10
2458.8000,10
2458.6001,10
2458.3999,0
2458.2000,0
2458.0000,10
2457.8000,10
2457.6001,-3.62566
2457.3999,10
2457.2000,10
2457.0000,10
2456.8000,0
2456.6001,10
2456.3999,10
2456.2000,10
2456.0000,1.99568
2455.8000,0
2455.6001,10
2455.3999,10
2455.2000,0
2455.0000,0.24558
2454.8000,0.196003
2454.6001,-2.17774
2454.3999,-0.361038
2454.2000,10
2454.0000,0.265566
2453.8000,1.95694
2453.6001,2.4772
2453.3999,10
2453.2000,10
2453.0000,-0.126521
2452.8000,-0.24128
2452.6001,10
2452.3999,10
2452.2000,1.92611
2452.0000,10
2451.8000,0
2451.6001,10
2451.3999,10
2451.2000,10
2451.0000,10
2450.8000,-0.112518
2450.6001,-2.43687
2450.3999,10
2450.2000,10
2450.0000,10
2449.8000,10
2449.6001,10
2449.3999,10
2449.2000,-0.510403
2449.0000,10
2448.8000,0
2448.6001,10
2448.3999,3.10365
2448.2000,0
2448.0000,0
2447.8000,10
2447.6001,10
2447.3999,10
2447.2000,10
2447.0000,0
2446.8000,10
2446.6001,2.32067
2446.3999,10
2446.2000,10
2446.0000,10
2445.8000,-0.080848
2445.6001,3.21952
2445.3999,10
2445.2000,10
2445.0000,10
2444.8000,10
2444.6001,0.468079
2444.3999,10
2444.2000,0.70944
2444.0000,10
2443.8000,-1.05023
2443.6001,10
2443.3999,10
2443.2000,10
2443.0000,10
2442.8000,10
2442.6001,2.3782
2442.3999,10
2442.2000,-0.124689
2442.0000,10
2441.8000,10
2441.6001,-0.530088
2441.3999,-0.579394
2441.2000,10
2441.0000,-2.65964
2440.8000,0
2440.6001,10
2440.3999,10
2440.2000,2.74432
2440.0000,-2.13634
2439.8000,10
2439.6001,0
2439.3999,10
2439.2000,2.91405
2439.0000,-0.340385
2438.8000,0
2438.6001,-0.185637
2438.3999,-1.08208
2438.2000,-2.62775
2438.0000,0.309184
2437.8000,10
2437.6001,10
2437.3999,0.863991
2437.2000,10
2437.0000,10
2436.8000,1.55812
2436.6001,10
2436.3999,10
2436.2000,-2.53901
2436.0000,10
2435.8000,2.27605
2435.6001,10
2435.3999,1.79277
2435.2000,10
2435.0000,-3.21116
2434.8000,1.24538
2434.6001,10
2434.3999,2.44089
2434.2000,0
2434.0000,-1.19558
2433.8000,10
2433.6001,10
2433.3999,10
2433.2000,10
2433.0000,10
2432.8000,10
2432.6001,0
2432.3999,-0.169053
2432.2000,0
2432.0000,1.58087
2431.8000,0
2431.6001,0.548731
2431.3999,10
2431.2000,10
2431.0000,10
2430.8000,-2.49095
2430.6001,-0.124939
2430.3999,10
2430.2000,0
2430.0000,0
2429.8000,10
2429.6001,4.26716
2429.3999,10
2429.2000,10
2429.0000,10
2428.8000,10
2428.6001,0
2428.3999,10
2428.2000,10
2428.0000,10
2427.8000,-2.55562
2427.6001,2.67012
2427.3999,0.259637
2427.2000,10
2427.0000,10
2426.8000,10
2426.6001,10
2426.3999,0
2426.2000,10
2426.0000,10
2425.8000,10
2425.6001,10
2425.3999,10
2425.2000,0.195934
2425.0000,10
2424.8000,-2.83791
2424.6001,0.269125
2424.3999,10
2424.2000,10
2424.0000,10
2423.8000,10
2423.6001,0.163985
2423.3999,-0.159096
2423.2000,10
