Wavelength(nm),Absorbance
2427.6001,10
2427.3999,10
2427.2000,10
2427.0000,1.35271
2426.8000,10
2426.6001,0
2426.3999,2.15949
2426.2000,10
2426.0000,10
2425.8000,10
2425.6001,3.20958
2425.3999,10
2425.2000,10
2425.0000,10
2424.8000,10
2424.6001,0.111429
2424.3999,10
2424.2000,0
2424.0000,10
2423.8000,10
2423.6001,10
2423.3999,-2.83456
2423.2000,0.352902
2423.0000,-1.86913
2422.8000,0
2422.6001,0
2422.3999,0
2422.2000,0
2422.0000,-1.70046
2421.8000,10
2421.6001,10
2421.3999,0.374502
2421.2000,10
2421.0000,-2.36498
2420.8000,-0.227644
2420.6001,10
2420.3999,10
2420.2000,10
2420.0000,-1.47801
2419.8000,10
2419.6001,-1.7644
2419.3999,10
2419.2000,1.08198
2419.0000,10
2418.8000,0
2418.6001,10
2418.3999,10
2418.2000,10
2418.0000,0
2417.8000,2.59068
2417.6001,0
2417.3999,10
2417.2000,0.0427959
2417.0000,0.926581
2416.8000,10
2416.6001,10
2416.3999,10
2416.2000,10
2416.0000,10
2415.8000,10
2415.6001,10
2415.3999,10
2415.2000,2.08124
2415.0000,10
2414.8000,-0.496361
2414.6001,1.90532
2414.3999,10
2414.2000,10
2414.0000,10
2413.8000,0.136785
2413.6001,10
2413.3999,-0.19382
2413.2000,10
2413.0000,3.06824
2412.8000,0
2412.6001,0.468521
2412.3999,10
2412.2000,-0.949451
2412.0000,10
2411.8000,0.0471475
2411.6001,1.52403
2411.3999,10
2411.2000,-2.62325
2411.0000,0.487044
2410.8000,-0.137225
2410.6001,0
2410.3999,-0.435068
2410.2000,0.217121
2410.0000,0.748724
2409.8000,10
2409.6001,10
2409.3999,10
2409.2000,10
2409.0000,10
2408.8000,10
2408.6001,10
2408.3999,10
2408.2000,10
2408.0000,10
2407.8000,10
2407.6001,10
2407.3999,10
2407.2000,10
2407.0000,1.1596
2406.8000,1.19493
2406.6001,-0.0931714
2406.3999,10
2406.2000,10
2406.0000,-2.15895
2405.8000,10
2405.6001,0
2405.3999,0.677781
2405.2000,0
2405.0000,0
2404.8000,2.91518
2404.6001,10
2404.3999,10
2404.2000,2.88333
2404.0000,0
2403.8000,10
2403.6001,0
2403.3999,0
2403.2000,0
2403.0000,10
2402.8000,-2.13049
2402.6001,-0.197587
2402.3999,10
2402.2000,10
2402.0000,0
